COUNTRY,YEAR,IndicatorCode,NumericValue
LAO,2019,AMR_INFECT_ECOLI,50.0
NLD,2018,AMR_INFECT_ECOLI,7.29
FIN,2017,AMR_INFECT_ECOLI,6.14
FRA,2020,AMR_INFECT_ECOLI,10.42
CIV,2020,AMR_INFECT_ECOLI,90.0
UGA,2020,AMR_INFECT_ECOLI,88.24
LKA,2023,AMR_INFECT_ECOLI,60.5
KWT,2021,AMR_INFECT_ECOLI,43.66
THA,2017,AMR_INFECT_ECOLI,41.72
IRL,2021,AMR_INFECT_ECOLI,9.81
ARE,2017,AMR_INFECT_ECOLI,48.07
LVA,2016,AMR_INFECT_ECOLI,28.24
KHM,2023,AMR_INFECT_ECOLI,71.08
LAO,2017,AMR_INFECT_ECOLI,45.28
BIH,2021,AMR_INFECT_ECOLI,28.86
OMN,2023,AMR_INFECT_ECOLI,59.34
ARG,2023,AMR_INFECT_ECOLI,21.34
BEL,2021,AMR_INFECT_ECOLI,8.33
KOR,2018,AMR_INFECT_ECOLI,38.63
CMR,2021,AMR_INFECT_ECOLI,70.0
SAU,2023,AMR_INFECT_ECOLI,52.27
IRN,2020,AMR_INFECT_ECOLI,69.23
PAK,2019,AMR_INFECT_ECOLI,88.87
NPL,2018,AMR_INFECT_ECOLI,65.33
ITA,2022,AMR_INFECT_ECOLI,26.5
RUS,2022,AMR_INFECT_ECOLI,64.63
PHL,2016,AMR_INFECT_ECOLI,38.02
LTU,2021,AMR_INFECT_ECOLI,13.29
CYP,2019,AMR_INFECT_ECOLI,19.57
IDN,2019,AMR_INFECT_ECOLI,70.14
JOR,2018,AMR_INFECT_ECOLI,61.9
IRN,2023,AMR_INFECT_ECOLI,72.12
MYS,2018,AMR_INFECT_ECOLI,27.79
ZAF,2021,AMR_INFECT_ECOLI,27.7
PHL,2022,AMR_INFECT_ECOLI,43.89
FRA,2021,AMR_INFECT_ECOLI,8.92
CYP,2020,AMR_INFECT_ECOLI,51.61
DEU,2016,AMR_INFECT_ECOLI,11.56
AUS,2020,AMR_INFECT_ECOLI,13.36
NOR,2016,AMR_INFECT_ECOLI,5.58
NLD,2017,AMR_INFECT_ECOLI,6.16
FRA,2017,AMR_INFECT_ECOLI,10.22
GRC,2017,AMR_INFECT_ECOLI,18.3
MOZ,2019,AMR_INFECT_ECOLI,28.0
MLT,2021,AMR_INFECT_ECOLI,13.04
IRN,2017,AMR_INFECT_ECOLI,90.0
AUS,2022,AMR_INFECT_ECOLI,12.68
MOZ,2022,AMR_INFECT_ECOLI,64.29
POL,2022,AMR_INFECT_ECOLI,18.77
CHE,2007,FINPROTECTION_CATA_CTPFHU_40_HH,0.20361
CYP,2015,FINPROTECTION_CATA_CTPFHU_40_HH,1.85703
MDA,2010,FINPROTECTION_CATA_CTPFHU_40_HH,16.76042
GEO,2015,FINPROTECTION_CATA_CTPFHU_40_HH,8.56117
HUN,2010,FINPROTECTION_CATA_CTPFHU_40_HH,0.97992
LUX,2014,FINPROTECTION_CATA_CTPFHU_40_HH,0.0
TUR,2013,FINPROTECTION_CATA_CTPFHU_40_HH,0.77616
TUR,2011,FINPROTECTION_CATA_CTPFHU_40_HH,5.38894
SVK,2006,FINPROTECTION_CATA_CTPFHU_40_HH,21.43272
LVA,2013,FINPROTECTION_CATA_CTPFHU_40_HH,3.7991
MDA,2014,FINPROTECTION_CATA_CTPFHU_40_HH,9.22534
EST,2003,FINPROTECTION_CATA_CTPFHU_40_HH,1.85678
UKR,2015,FINPROTECTION_CATA_CTPFHU_40_HH,15.59679
POL,2014,FINPROTECTION_CATA_CTPFHU_40_HH,3.12105
